eventtype,tick,timestamp,taskid,object,value,src
traceTASK_SWITCHED_OUT,1400,1400000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,1400,1400000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,1400,1400000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,1400,1400000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,1400,1400000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,1400,1400000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,1400,1400000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,1400,1400000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,1400,1400000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,1400,1400000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,1400,1400000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,1400,1400000,Bus,0x0,1600,TASK
traceTASK_SWITCHED_OUT,1400,1400000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,1400,1400000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,1506,1506000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,1506,1506000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,1506,1506000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,1506,1506000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,1506,1506000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,1506,1506000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,1506,1506000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,1506,1506000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,1506,1506000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,1506,1506000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,1506,1506000,Cycle,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,1506,1506000,Cycle,0x0,1806,TASK
traceTASK_SWITCHED_OUT,1506,1506000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,1506,1506000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,1600,1600000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,1600,1600000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,1600,1600000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,1600,1600000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,1600,1600000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,1600,1600000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,1600,1600000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,1600,1600000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,1600,1600000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,1600,1600000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,1600,1600000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,1600,1600000,Bus,0x0,1800,TASK
traceTASK_SWITCHED_OUT,1600,1600000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,1600,1600000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,1800,1800000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,1800,1800000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,1800,1800000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,1800,1800000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,1800,1800000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,1800,1800000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,1800,1800000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,1800,1800000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,1800,1800000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,1800,1800000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,1800,1800000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,1800,1800000,Bus,0x0,2000,TASK
traceTASK_SWITCHED_OUT,1800,1800000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,1800,1800000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,1806,1806000,IDLE,0x0,0,TASK
